sensor,type,uptime,v,a,w,kwh,hz,pf,time
main_power,json,40240,227,0.694,116.1,0.574,49.9,0.74,2020-12-01 07:07:55
main_power,json,40271,227.3,0.698,117.8,0.575,49.9,0.74,2020-12-01 07:08:26
main_power,json,40302,227,0.756,134.1,0.577,50,0.78,2020-12-01 07:08:57
main_power,json,40333,227.3,0.712,122.3,0.577,50.1,0.76,2020-12-01 07:09:28
main_power,json,40364,227.3,0.721,123.4,0.579,50,0.75,2020-12-01 07:09:59
main_power,json,40395,227.2,0.707,119.8,0.58,50,0.75,2020-12-01 07:10:30
main_power,json,40426,227.5,0.707,119.7,0.581,50.1,0.74,2020-12-01 07:11:01
main_power,json,40457,227.6,0.701,118.5,0.582,50,0.74,2020-12-01 07:11:32
main_power,json,40489,227.6,0.695,116.1,0.583,50,0.73,2020-12-01 07:12:04
main_power,json,40520,227.5,0.712,121.2,0.584,50,0.75,2020-12-01 07:12:35
main_power,json,40551,227.2,0.669,111.6,0.585,50,0.73,2020-12-01 07:13:06
main_power,json,40582,227.1,0.716,120.7,0.586,49.8,0.74,2020-12-01 07:13:37
main_power,json,40613,227.4,0.783,139.5,0.587,50,0.78,2020-12-01 07:14:08
main_power,json,40644,227.6,0.695,114.7,0.588,50,0.73,2020-12-01 07:14:39
main_power,json,40675,227.6,0.691,113.6,0.589,49.9,0.72,2020-12-01 07:15:10
main_power,json,40706,227.1,0.693,114.3,0.59,49.9,0.73,2020-12-01 07:15:41
main_power,json,40737,227.2,0.69,113.2,0.591,50,0.72,2020-12-01 07:16:12
main_power,json,40768,227.4,0.69,114.8,0.592,50.1,0.73,2020-12-01 07:16:43
main_power,json,40799,227.2,0.687,114.6,0.593,50,0.73,2020-12-01 07:17:14
main_power,json,40830,227.3,0.693,114.9,0.594,50.1,0.73,2020-12-01 07:17:45
main_power,json,40862,227.4,0.694,114,0.595,50,0.72,2020-12-01 07:18:17
main_power,json,40893,227.4,0.692,113.1,0.596,50,0.72,2020-12-01 07:18:48
main_power,json,40924,227.4,0.729,125.2,0.597,50.1,0.76,2020-12-01 07:19:19
main_power,json,40955,227.6,0.692,114.3,0.598,50,0.73,2020-12-01 07:19:50
main_power,json,40986,227.5,0.688,114,0.599,50.1,0.73,2020-12-01 07:20:21
main_power,json,41017,227.7,0.684,112.1,0.6,50.1,0.72,2020-12-01 07:20:52
main_power,json,41048,227.8,0.702,116.8,0.601,50.1,0.73,2020-12-01 07:21:23
main_power,json,41079,227.6,0.691,113.6,0.602,50.1,0.72,2020-12-01 07:21:54
